Municipio;cd_geocmu;TT17_Dominant
Gonçalves Dias - MA;2104404;1
Governador Archer - MA;2104503;1
Governador Edison Lobão - MA;2104552;7
Governador Eugênio Barros - MA;2104602;4
Governador Jorge Teixeira - RO;1101005;3
Governador Luiz Rocha - MA;2104628;4
Governador Newton Bello - MA;2104651;4
Governador Nunes Freire - MA;2104677;1
Graça Aranha - MA;2104701;1
Grajaú - MA;2104800;4
Guajará - AM;1301654;1
Guajará-Mirim - RO;1100106;2
Guaraí - TO;1709302;7
Guarantã do Norte - MT;5104104;4
Guimarães - MA;2104909;1
Guiratinga - MT;5104203;7
Gurupá - PA;1503101;2
Gurupi - TO;1709500;4
Humaitá - AM;1301704;2
Icatu - MA;2105104;1
Igarapé do Meio - MA;2105153;7
Igarapé Grande - MA;2105203;7
Igarapé-Açu - PA;1503200;5
Igarapé-Miri - PA;1503309;2
Imperatriz - MA;2105302;4
Indiavaí - MT;5104500;7
Inhangapi - PA;1503408;5
Ipiranga do Norte - MT;5104526;7
Ipixuna - AM;1301803;1
Ipixuna do Pará - PA;1503457;4
Ipueiras - TO;1709807;7
Iracema - RR;1400282;4
Iranduba - AM;1301852;5
Irituia - PA;1503507;1
Itacajá - TO;1710508;7
Itacoatiara - AM;1301902;2
Itaguatins - TO;1710706;2
Itaipava do Grajaú - MA;2105351;1
Itaituba - PA;1503606;2
Itamarati - AM;1301951;1
Itanhangá - MT;5104542;7
Itapecuru Mirim - MA;2105401;1
Itapiranga - AM;1302009;2
Itapiratins - TO;1710904;7
Itaporã do Tocantins - TO;1711100;4
Itapuã do Oeste - RO;1101104;7
Itaúba - MT;5104559;4
Itaubal - AP;1600253;7
Itinga do Maranhão - MA;2105427;5
Itiquira - MT;5104609;7
Itupiranga - PA;1503705;4
Jacareacanga - PA;1503754;4
Jaciara - MT;5104807;7
Jacundá - PA;1503804;4
Jangada - MT;5104906;4
Japurá - AM;1302108;2
Jaru - RO;1100114;3
Jatobá - MA;2105450;1
Jaú do Tocantins - TO;1711506;4
Jauru - MT;5105002;4
Jenipapo dos Vieiras - MA;2105476;1
Ji-Paraná - RO;1100122;3
João Lisboa - MA;2105500;4
Jordão - AC;1200328;1
Joselândia - MA;2105609;2
Juara - MT;5105101;4
Juarina - TO;1711803;2
Juína - MT;5105150;4
Junco do Maranhão - MA;2105658;1
Juruá - AM;1302207;1
Juruena - MT;5105176;4
Juruti - PA;1503903;1
Juscimeira - MT;5105200;7
Jutaí - AM;1302306;1
Lábrea - AM;1302405;4
Lago da Pedra - MA;2105708;7
Lago do Junco - MA;2105807;4
Lago dos Rodrigues - MA;2105948;1
Lago Verde - MA;2105906;4
Lagoa da Confusão - TO;1711902;7
Lagoa do Tocantins - TO;1711951;4
Lagoa Grande do Maranhão - MA;2105963;1
Lajeado - TO;1712009;4
Lajeado Novo - MA;2105989;1
Lambari D'Oeste - MT;5105234;7
Laranjal do Jari - AP;1600279;2
Lavandeira - TO;1712157;4
Lima Campos - MA;2106003;1
Limoeiro do Ajuru - PA;1504000;2
Lizarda - TO;1712405;7
Loreto - MA;2106102;7
Lucas do Rio Verde - MT;5105259;7
Luciara - MT;5105309;4
Luís Domingues - MA;2106201;2
Luzinópolis - TO;1712454;2
Macapá - AP;1600303;1
Machadinho D'Oeste - RO;1100130;3
Mãe do Rio - PA;1504059;4
Magalhães Barata - PA;1504109;2
Manacapuru - AM;1302504;1
Manaquiri - AM;1302553;1
Manaus - AM;1302603;5
Mâncio Lima - AC;1200336;1
Manicoré - AM;1302702;1
Manoel Urbano - AC;1200344;2
Maraã - AM;1302801;2
Marabá - PA;1504208;4
Maracaçumé - MA;2106326;4
Maracanã - PA;1504307;1
Marajá do Sena - MA;2106359;4
Maranhãozinho - MA;2106375;1
Marapanim - PA;1504406;2
Marcelândia - MT;5105580;7
Marechal Thaumaturgo - AC;1200351;1
Marianópolis do Tocantins - TO;1712504;7
Marituba - PA;1504422;4
Mateiros - TO;1712702;7
Matinha - MA;2106508;7
Matões do Norte - MA;2106631;4
Matupá - MT;5105606;7
Maués - AM;1302900;1
Maurilândia do Tocantins - TO;1712801;4
Mazagão - AP;1600402;2
Medicilândia - PA;1504455;5
Melgaço - PA;1504505;2
Ministro Andreazza - RO;1101203;3
Miracema do Tocantins - TO;1713205;4
Mirador - MA;2106706;4
Miranda do Norte - MA;2106755;4
Miranorte - TO;1713304;7
Mirante da Serra - RO;1101302;3
Mirassol d'Oeste - MT;5105622;5
Mirinzal - MA;2106805;1
Mocajuba - PA;1504604;2
Moju - PA;1504703;2
Mojuí dos Campos - PA;1504752;7
Monção - MA;2106904;7
Monte Alegre - PA;1504802;2
Monte Alegre - PA;1504802;2
Monte do Carmo - TO;1713601;4
Monte Negro - RO;1101401;3
Monte Santo do Tocantins - TO;1713700;4
Montes Altos - MA;2107001;1
Morros - MA;2107100;1
Muaná - PA;1504901;2
Mucajaí - RR;1400308;4
Muricilândia - TO;1713957;4
Natividade - TO;1714203;4
Nazaré - TO;1714302;4
Nazaré - TO;2922508;4
Nhamundá - AM;1303007;1
Nobres - MT;5105903;7
Normandia - RR;1400407;7
Nortelândia - MT;5106000;4
Nossa Senhora do Livramento - MT;5106109;7
Nova Bandeirantes - MT;5106158;4
Nova Brasilândia - MT;5106208;7
Nova Brasilândia D'Oeste - RO;1100148;3
Nova Canaã do Norte - MT;5106216;4
Nova Colinas - MA;2107258;4
Nova Esperança do Piriá - PA;1504950;2
Nova Guarita - MT;5108808;7
Nova Iorque - MA;2107308;4
Nova Ipixuna - PA;1504976;4
Nova Lacerda - MT;5106182;4
Nova Mamoré - RO;1100338;3
Nova Marilândia - MT;5108857;4
Nova Maringá - MT;5108907;7
Nova Monte Verde - MT;5108956;4
Nova Mutum - MT;5106224;7
Nova Nazaré - MT;5106174;4
Nova Olímpia - MT;5106232;7
Nova Olinda - TO;1714880;4
Nova Olinda do Maranhão - MA;2107357;3
Nova Olinda do Norte - AM;1303106;2
Nova Rosalândia - TO;1715002;4
Nova Santa Helena - MT;5106190;7
Nova Timboteua - PA;1505007;5
Nova Ubiratã - MT;5106240;7
Nova União - RO;1101435;3
Nova União - RO;1101435;3
Nova Xavantina - MT;5106257;4
Novo Acordo - TO;1715101;7
Novo Airão - AM;1303205;2
Novo Alegre - TO;1715150;4
Novo Aripuanã - AM;1303304;4
Novo Horizonte do Norte - MT;5106273;3
Novo Horizonte do Oeste - RO;1100502;2
Novo Jardim - TO;1715259;4
Novo Mundo - MT;5106265;4
Novo Progresso - PA;1505031;4
Novo Repartimento - PA;1505064;3
Novo Santo Antônio - MT;5106315;7
Novo São Joaquim - MT;5106281;7
Óbidos - PA;1505106;1
Oeiras do Pará - PA;1505205;1
Oiapoque - AP;1600501;1
Olho d'Água das Cunhãs - MA;2107407;4
Olinda Nova do Maranhão - MA;2107456;1
Oliveira de Fátima - TO;1715507;7
Oriximiná - PA;1505304;1
Ourém - PA;1505403;1
Ourilândia do Norte - PA;1505437;4
Ouro Preto do Oeste - RO;1100155;3
Pacajá - PA;1505486;4
Pacaraima - RR;1400456;2
Paço do Lumiar - MA;2107506;1
